,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract,Electric_Range
9170,KMHC65LD7L,King,Seattle,WA,98115.0,2020,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,43.0,271840614,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003602.0,29.0
9171,WBA7W4C06N,Snohomish,Everett,WA,98208.0,2022,BMW,745LE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,44.0,212376244,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041601.0,16.0
9172,WBAJA9C58K,King,Seattle,WA,98126.0,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,53400.0,34.0,271087876,POINT (-122.36893 47.54701),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010702.0,16.0
9173,JTDKN3DP5C,Clallam,Port Angeles,WA,98362.0,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,24.0,120137636,POINT (-123.43112 48.11892),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009001400.0,6.0
9174,JTDKN3DP9C,Whatcom,Bellingham,WA,98225.0,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,40.0,230321640,POINT (-122.47107 48.75245),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073001101.0,6.0
9175,WBY8P6C54K,King,Seattle,WA,98117.0,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,36.0,477080334,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001701.0,153.0
9176,WDDVP9AB2E,Pierce,Tacoma,WA,98406.0,2014,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,28.0,106055022,POINT (-122.52082 47.26887),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053061001.0,87.0
9177,JTDKN3DP2C,King,Enumclaw,WA,98022.0,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,31.0,259117575,POINT (-121.99136 47.20433),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031502.0,6.0
9178,JTDKN3DP5D,King,Seattle,WA,98109.0,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,36.0,180624482,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006701.0,6.0
9179,5YJSA1E2XK,King,Kirkland,WA,98033.0,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,48.0,112738111,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022604.0,270.0
9180,KNDJX3AE2G,Pierce,Graham,WA,98338.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,31950.0,2.0,216008530,POINT (-122.29477 47.05703),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053073116.0,93.0
9181,1FADP3R43E,Benton,Kennewick,WA,99338.0,2014,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,16.0,165741796,POINT (-119.3118 46.20664),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005010814.0,76.0
9182,JTDKN3DP3D,King,Seattle,WA,98103.0,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.0,43.0,257963422,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003601.0,6.0
9183,KNDJX3AE0G,Whatcom,Bellingham,WA,98225.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,31950.0,40.0,3376096,POINT (-122.47107 48.75245),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073001102.0,93.0
9184,5YJSA1E27G,Pierce,Gig Harbor,WA,98332.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,26.0,167311476,POINT (-122.58964 47.34235),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072507.0,210.0
9186,1N4BZ0CP5H,Pierce,Tacoma,WA,98444.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.0,29.0,270878562,POINT (-122.43828 47.15258),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053063502.0,107.0
